method,accuracy,flops_per_sample,flops_reduction,latency_ms,latency_reduction,co2_kg,co2_reduction,avg_exit,notes
full_resnet18,0.8826,557889024.0,0.0,2.1821806653557965,0.0,9.230857438604639e-05,0.0,final,Measured directly from the baseline model.
early_exit_resnet18,0.8774,558008640.0,0.0,2.605816933404033,0.0,0.0001487712923092876,0.0,n/a,Backbone with auxiliary exits trained jointly; no early-exit policy applied.
fixed_threshold_0.60,0.8081,183996263.2273791,0.6701920000000231,0.0864380726822421,0.96038913090262,3.0444106301111053e-05,0.6701920000000231,1.5128,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
fixed_threshold_0.70,0.8401,212936198.4583567,0.6183180000000202,0.08305194559111918,0.9619408480197592,3.523252128881309e-05,0.6183180000000202,1.7356,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
fixed_threshold_0.80,0.8602,243887881.5098868,0.5628380000000022,0.0691087064685799,0.9683304377287607,4.0353800995752613e-05,0.5628380000000022,1.9656,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
fixed_threshold_0.90,0.8715,286266247.55099016,0.48687599999997466,0.07347413663172818,0.9663299479286017,4.7365744923268006e-05,0.48687599999997466,2.2735,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
fixed_threshold_0.95,0.8753,319513086.0472515,0.42728199999996497,0.07474090346714758,0.9657494429064785,5.2866782105230946e-05,0.42728199999996497,2.5076,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
accuracy_first_alpha_0.10,0.8688,280653883.96954685,0.4969359999999805,0.08828071914163856,0.9595447248968981,4.643712066494384e-05,0.4969359999999805,2.2235,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
accuracy_first_alpha_0.20,0.8719,309856027.041808,0.44459199999997134,0.07075352329658514,0.9675766885758521,5.1268920682607895e-05,0.44459199999997134,2.4107,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
accuracy_first_alpha_0.30,0.8741,359922103.83361626,0.3548499999999709,0.07848467619914543,0.9640338320996219,5.955287676516051e-05,0.3548499999999709,2.7239,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
budget_first_alpha_0.10,0.8639,249307215.48902634,0.5531239999999957,0.06932861907926766,0.9682296611917034,4.125048648733926e-05,0.5531239999999957,2.0121,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
budget_first_alpha_0.20,0.8597,236197939.20306897,0.5766220000000054,0.06004767795558244,0.972482719277603,3.908141960641505e-05,0.5766220000000054,1.9205,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
budget_first_alpha_0.30,0.8548,226257472.5734331,0.5944400000000123,0.058648941713771136,0.9731237002302884,3.7436665428003835e-05,0.5944400000000123,1.851,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
learned_controller_earliest_correct,0.7364,152006906.59122062,0.7275320000000204,0.07683021191138768,0.9647920022704166,2.5151132645815407e-05,0.7275320000000204,1.2429,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
reinforce_controller_lambda_0.20,0.8691,240842923.2169048,0.5682959999999843,0.08498172732085585,0.961056511649094,3.9849980796755225e-05,0.5682959999999843,2.0047,Latency is measured directly with conditional execution; CO2 is scaled from the baseline using average FLOPs ratio.
