method,split,accuracy,flops_per_sample,flops_reduction,latency_ms,latency_reduction,co2_kg,co2_reduction,avg_exit,notes
fixed_threshold_0.50,test,0.7605,157985245.37240535,0.7168160000000191,0.06222104736620842,0.9714867570985175,2.6140311328936396e-05,0.7168160000000191,1.3044,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.55,test,0.7855,170573453.30993956,0.6942520000000223,0.05933347324912007,0.9728100087260896,2.8223162001382853e-05,0.6942520000000223,1.4066,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.60,test,0.8081,183996263.2273791,0.6701920000000231,0.06817841434389502,0.9687567507923187,3.0444106301111053e-05,0.6701920000000231,1.5128,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.65,test,0.8262,197760501.22750735,0.6455200000000227,0.06074573182789129,0.9721628310651415,3.272154344836363e-05,0.6455200000000227,1.6196,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.70,test,0.8401,212936198.4583567,0.6183180000000202,0.05748386835925802,0.9736576034826678,3.523252128881309e-05,0.6183180000000202,1.7356,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.75,test,0.8506,226731678.24383053,0.5935900000000169,0.0642801837096093,0.9705431430448823,3.751512771623154e-05,0.5935900000000169,1.8395,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.80,test,0.8602,243887881.5098868,0.5628380000000022,0.06416468464997217,0.9705960713204695,4.0353800995752613e-05,0.5628380000000022,1.9656,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.85,test,0.8672,263802288.1105991,0.5271419999999873,0.06729793330397264,0.969160237567681,4.3648847867038297e-05,0.5271419999999873,2.1103,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.90,test,0.8715,286266247.55099016,0.48687599999997466,0.0646017329494613,0.9703957907908014,4.7365744923268006e-05,0.48687599999997466,2.2735,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.95,test,0.8753,319513086.0472515,0.42728199999996497,0.07417060746873315,0.9660107851534648,5.2866782105230946e-05,0.42728199999996497,2.5076,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
fixed_threshold_0.99,test,0.8773,374718436.52814955,0.32832799999996143,0.07982788659390465,0.9634182962660935,6.200108477502811e-05,0.32832799999996143,2.8809,Threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
